product_batch_number,product_type,production_date,production_time,production_line,shift,supplier_id
24-11-22-00:19-09,16PCS,2024-11-22,0:19:00,2,Night,1168
24-11-04-00:19-15,16PCS,2024-11-04,0:19:00,3,Night,1168
24-11-13-22:04-04,16PCS,2024-11-13,22:04:00,1,Night,1120
24-12-03-15:03-10,16PCS,2024-12-03,15:03:00,1,Day,1189
24-12-29-04:40-12,16PCS,2024-12-29,4:40:00,5,Night,1168
24-12-21-05:24-09,24PCS,2024-12-21,5:24:00,5,Night,1170
24-11-16-16:39-11,24PCS,2024-11-16,16:39:00,5,Day,1168
24-11-18-01:03-09,24PCS,2024-11-18,1:03:00,5,Night,1170
24-11-12-00:59-13,16PCS,2024-11-12,0:59:00,1,Night,1170
24-11-29-03:38-10,16PCS,2024-11-29,3:38:00,1,Night,1170
24-11-31-06:41-15,16PCS,2024-11-30,6:41:00,3,Night,1168
24-11-24-20:00-07,16PCS,2024-11-24,20:00:00,3,Night,1168
24-11-17-09:31-07,16PCS,2024-11-17,9:31:00,2,Day,1170
24-12-22-01:35-03,16PCS,2024-12-22,1:35:00,4,Night,1189
24-11-12-18:29-05,24WNGS,2024-11-12,18:29:00,2,Night,1189
24-12-02-16:43-09,16PCS,2024-12-02,16:43:00,3,Day,1120
24-11-09-20:57-12,16PCS,2024-11-09,20:57:00,1,Night,1168
24-12-18-16:56-11,16PCS,2024-12-18,16:56:00,1,Day,1170
24-11-31-08:11-03,16PCS,2024-11-30,8:11:00,5,Day,1189
24-12-07-12:33-09,16PCS,2024-12-07,12:33:00,5,Day,1168
24-11-02-05:58-01,24PCS,2024-11-02,5:58:00,5,Night,1168
24-11-29-21:08-04,24PCS,2024-11-29,21:08:00,5,Night,1168
24-11-01-05:07-02,24PCS,2024-11-01,5:07:00,1,Night,1120
24-11-02-02:33-13,16PCS,2024-11-02,2:33:00,1,Night,1170
24-11-09-11:12-06,16PCS,2024-11-09,12:06:00,3,Day,1120
24-11-20-03:01-09,16PCS,2024-11-20,3:01:00,3,Night,1170
24-12-17-03:28-13,16PCS,2024-12-17,3:28:00,2,Night,1170
24-12-04-11:47-15,16PCS,2024-12-04,11:47:00,4,Day,1168
24-12-26-18:13-12,16PCS,2024-12-26,18:13:00,1,Night,1168
24-12-19-01:15-13,24WNGS,2024-12-19,1:15:00,3,Night,1120
24-11-08-20:57-15,16WNGS,2024-11-08,20:57:00,5,Night,1189
24-12-17-17:57-05,16WNGS,2024-12-17,17:57:00,5,Night,1168
24-11-03-21:17-01,4SPATCH,2024-11-03,21:17:00,1,Night,1170
24-11-09-04:58-05,16WNGS,2024-11-09,4:58:00,5,Day,1170
24-12-26-05:50-13,16PCS,2024-12-26,5:50:00,2,Night,1120
24-11-28-22:30-08,16PCS,2024-11-28,22:30:00,3,Night,1168
24-12-23-08:27-06,16PCS,2024-12-23,8:27:00,3,Day,1170
24-11-26-04:18-09,16PCS,2024-11-26,4:18:00,2,Night,1168
24-12-21-17:11-14,16PCS,2024-12-21,17:11:00,3,Day,1168
24-12-19-12:31-10,16PCS,2024-12-19,12:31:00,1,Day,1120
24-12-05-14:36-15,16PCS,2024-12-05,14:36:00,1,Day,1170
24-12-22-00:09-03,16PCS,2024-12-22,0:09:00,5,Night,1189
24-11-06-02:41-12,24PCS,2024-11-06,2:41:00,5,Night,1120
24-11-13-15:24-10,24PCS,2024-11-13,15:24:00,5,Day,1168
24-12-18-22:25-01,24PCS,2024-12-18,22:25:00,5,Night,1170
24-11-27-22:26-01,16PCS,2024-11-27,22:26:00,1,Night,1189
24-12-19-18:02-01,16PCS,2024-12-19,18:02:00,1,Night,1168
24-11-15-22:12-15,16PCS,2024-11-15,22:12:00,3,Night,1168
24-12-06-11:04-05,16PCS,2024-12-06,11:04:00,3,Day,1168
24-11-12-05:36-02,16PCS,2024-11-12,5:36:00,2,Night,1120
24-12-20-21:54-05,16PCS,2024-12-20,21:54:00,4,Night,1170
24-11-13-10:33-02,24WNGS,2024-11-13,10:33:00,2,Day,1120
24-11-29-18:50-02,16PCS,2024-11-29,18:50:00,3,Night,1120
24-11-26-22:02-14,16PCS,2024-11-26,22:02:00,1,Night,1180
24-11-05-19:10-12,16PCS,2024-11-05,19:10:00,1,Night,1168
24-12-04-00:39-04,16PCS,2024-12-04,0:39:00,5,Night,1168
24-11-21-01:52-04,16PCS,2024-11-21,1:52:00,5,Night,1120
24-11-08-07:47-12,24PCS,2024-11-08,7:42:00,5,Day,1189
24-11-13-02:09-10,24PCS,2024-11-13,2:09:00,5,Night,1168
24-11-07-21:33-03,24PCS,2024-11-07,21:33:00,1,Night,1170
24-11-03-12:57-10,16PCS,2024-11-03,12:57:00,1,Day,1170
24-12-25-01:06-13,16PCS,2024-12-25,1:06:00,3,Night,1170
24-11-02-09:19-03,16PCS,2024-11-02,9:19:00,3,Day,1170
24-11-10-12:16-01,16PCS,2024-11-10,12:16:00,2,Day,1170
24-12-25-07:59-05,16PCS,2024-12-25,7:59:00,4,Day,1168
24-12-20-04:36-07,16PCS,2024-12-20,4:36:00,1,Night,1168
24-12-06-19:15-14,24WNGS,2024-12-06,19:15:00,3,Night,1120
24-11-22-04:18-13,16WNGS,2024-11-22,4:18:00,5,Night,1189
24-11-01-23:55-01,16WNGS,2024-11-01,23:55:00,5,Night,1189
24-12-15-16:18-08,16PCS,2024-12-15,16:18:00,1,Day,1120
24-11-29-20:23-10,16PCS,2024-11-29,20:23:00,5,Night,1168
24-12-16-00:39-08,16PCS,2024-12-16,0:39:00,2,Night,1170
24-11-05-17:57-11,16PCS,2024-11-05,17:57:00,3,Day,1189
24-12-08-23:01-07,16PCS,2024-12-08,23:01:00,3,Night,1168
24-11-11-03:54-05,24PCS,2024-11-11,3:54:00,5,Night,1168
24-12-15-01:13-12,24PCS,2024-12-15,1:13:00,3,Night,1168
24-11-06-03:57-05,24PCS,2024-11-06,3:57:00,3,Night,1120
